,colsample_bytree,max_depth,min_child_weight,train,n_estimators,valid
0,0.304166308208,6.0,263.0,0.2708588,2003,0.24951164732
1,0.615082182968,15.0,2.0,0.200432,95,0.19122983646
2,0.664821987212,2.0,58.0,0.2340514,1826,0.225561651181
3,0.178665677614,3.0,2.0,0.3794878,736,0.374093232534
4,0.26736878098,2.0,66.0,0.2529908,2497,0.24538447643
5,0.218267630356,6.0,1026.0,0.4755848,695,0.437070436054
6,0.644765713863,6.0,96.0,0.2243344,660,0.213839183003
7,0.599313062408,7.0,3.0,0.2013986,181,0.191908516305
8,0.449225998106,19.0,181.0,0.2490336,994,0.232468643853
9,0.845773877537,8.0,517.0,0.3410994,903,0.303180900888
10,0.198600510803,3.0,29.0,0.3761422,749,0.372759895525
11,0.664971090454,10.0,659.0,0.3937734,667,0.338441117575
12,0.275858358051,7.0,198.0,0.2653176,2105,0.24753227547
13,0.292115695807,4.0,3.0,0.241766,791,0.228759635166
14,0.725833870832,3.0,1902.0,0.6931456,8,0.638971617311
15,0.391624774969,14.0,401.0,0.3061346,2075,0.278657900391
16,0.94080100771,15.0,51.0,0.2084636,315,0.200001293454
17,0.100886298772,3.0,397.0,0.3992526,1210,0.394301970218
18,0.138729773775,11.0,1539.0,0.6292378,42,0.606897509091
19,0.690386234956,12.0,1362.0,0.5383084,48,0.5199086094
20,0.52450046006,19.0,7.0,0.2057258,145,0.195317017938
21,0.799623231912,16.0,9.0,0.1980842,112,0.188500720592
22,0.799913071787,17.0,12.0,0.1992264,124,0.191244388157
23,0.80253968782,17.0,11.0,0.1985282,91,0.185516593052
24,0.976480180906,17.0,14.0,0.1996664,128,0.190203510115
25,0.89670444906,17.0,8.0,0.196019,113,0.185522715351
26,0.893556856225,13.0,5.0,0.1952848,88,0.185029835844
27,0.904446465687,13.0,1.0,0.1948764,54,0.182291150678
28,0.902001727598,13.0,1.0,0.1948764,54,0.182291150678
29,0.9911669195,9.0,1.0,0.1916478,90,0.178219293851
30,0.994972952741,9.0,1.0,0.1916478,90,0.178219293851
31,0.99898806019,9.0,1.0,0.1916478,90,0.178219293851
32,0.74008600953,10.0,2.0,0.194064,98,0.183432879636
33,0.510614841733,5.0,25.0,0.2104418,420,0.199595877624
34,0.973453611171,9.0,2.0,0.1906692,100,0.182106118381
35,0.368907588786,11.0,4.0,0.229787,284,0.217801960567
36,0.576329981253,8.0,2.0,0.2021242,183,0.190447608169
37,0.83926667615,5.0,2944.0,0.6931456,8,0.693146814942
38,0.9501128081,7.0,18.0,0.2008334,233,0.19221847013
39,0.842911763356,8.0,95.0,0.2207742,614,0.209761717939
40,0.759243726968,12.0,2.0,0.196019,84,0.181735836706
41,0.625811240968,1.0,40.0,0.3652798,1633,0.366054390654
42,0.943981591245,5.0,5.0,0.2012186,276,0.191706261663
43,0.357065789395,9.0,3.0,0.225823,300,0.2110430425
