,colsample_bytree,max_depth,min_child_weight,train,n_estimators,valid
0,0.304166308208,6.0,263.0,0.349573,589,0.301543348892
1,0.615082182968,15.0,2.0,0.162843,121,0.155210705168
2,0.664821987212,2.0,58.0,0.2017696,1487,0.192271890994
3,0.178665677614,3.0,2.0,0.3282928,509,0.324268740274
4,0.26736878098,2.0,66.0,0.220579,1980,0.214535033459
5,0.218267630356,6.0,1026.0,0.6931446,15,0.693145515919
6,0.644765713863,6.0,96.0,0.2057328,1110,0.189955853018
7,0.599313062408,7.0,3.0,0.163915,211,0.155988011868
8,0.449225998106,19.0,181.0,0.2619382,1573,0.242014523127
9,0.845773877537,8.0,517.0,0.4307418,152,0.402567726631
10,0.198600510803,3.0,29.0,0.3291486,642,0.32245836864
11,0.664971090454,10.0,659.0,0.5084662,42,0.476642463308
